imdb_title_id,ordering,imdb_name_id,category
4972,1,1273,actress
4972,2,550615,actress
4972,3,910400,actor
4972,4,178270,actress
4972,5,428,director
4972,6,228746,writer
4972,7,940488,writer
4972,8,106922,composer
4972,9,5658,cinematographer
4972,10,376221,editor
6333,1,392709,actor
6333,2,360132,actor
6333,3,671728,actress
6333,4,72911,actor
6333,5,665737,director
6333,6,894523,writer
6333,7,3668,composer
6333,8,2028512,composer
6333,9,309968,cinematographer
6864,1,1273,actress
6864,2,366008,actor
6864,3,550615,actress
6864,4,877548,actor
6864,5,428,director
6864,6,48512,writer
6864,7,115218,writer
6864,8,2616,writer
6864,9,640437,writer
6864,10,1578667,writer
10323,1,470328,actor
10323,2,891998,actor
10323,3,270415,actor
10323,4,196820,actress
10323,5,927468,director
10323,6,562346,writer
10323,7,417917,writer
10323,8,31350,composer
10323,9,5959,composer
10323,10,110640,composer
11237,1,917467,actor
11237,2,826210,actor
11237,3,222074,actor
11237,4,758802,actress
11237,5,91380,director
11237,6,301961,writer
11237,7,203452,producer
11237,8,485134,composer
11237,9,10670231,composer
11237,10,6272,composer
11439,1,1196,actor
11439,2,209323,actress
11439,3,571770,actor
11439,4,1935,actor
11439,5,629243,director
11439,6,191547,writer
11439,7,1491939,writer
11439,8,675356,composer
11439,9,568915,cinematographer
11439,10,861665,cinematographer
12349,1,122,actor
12349,2,701012,actress
12349,3,1067,actor
12349,4,588033,actor
12349,5,42317,actor
12349,6,47800,actress
12349,7,48798,actress
12349,8,74788,actor
12349,9,80930,actor
12349,10,88471,actor
13442,1,775180,actor
13442,2,334603,actor
13442,3,903194,actor
13442,4,775659,actress
13442,5,3638,director
13442,6,301961,writer
13442,7,831290,writer
13442,8,225868,producer
13442,9,336057,producer
13442,10,2302,composer
14341,1,36,actor
14341,2,848231,actress
14341,3,444172,actor
14341,4,731247,actor
14341,5,90007,director
14341,6,369841,writer
14341,7,115669,writer
14341,8,593477,writer
14341,9,2301,composer
14341,10,421157,cinematographer
14429,1,516001,actor
14429,2,205192,actress
14429,3,835128,actor
14429,4,949927,actor
14429,5,628345,director
14429,6,853130,director
14429,7,730018,writer
14429,8,924065,writer
14429,9,907778,writer
14429,10,369841,writer
14538,1,36,actor
14538,2,494993,actress
14538,3,891,actor
14538,4,731247,actor
14538,5,166836,director
14538,6,115669,writer
14538,7,593477,writer
14538,8,369841,writer
14538,9,4592,composer
14538,10,504380,cinematographer
15064,1,417837,actor
15064,2,217848,actress
15064,3,384897,actor
15064,4,476130,actress
15064,5,3638,director
15064,6,562346,writer
15064,7,690143,producer
15064,8,5959,composer
15064,9,110640,composer
15064,10,2328000,composer
15163,1,36,actor
15163,2,570230,actress
15163,3,89162,actor
15163,4,123548,actor
15163,5,187981,director
15163,6,115669,writer
15163,7,593477,writer
15163,8,369841,writer
15163,9,4592,composer
15163,10,396327,cinematographer
15324,1,36,actor
15324,2,570230,actress
15324,3,444172,actor
15324,4,175068,actor
15324,5,369841,writer
15324,6,593477,writer
15324,7,115669,writer
15324,8,3816287,composer
15324,9,396327,cinematographer
15324,10,504380,cinematographer
15400,1,1196,actor
15400,2,426710,actress
15400,3,250366,actor
15400,4,67634,actor
15400,5,909825,director
15400,6,940689,writer
15400,7,8280,writer
15400,8,640884,writer
15400,9,249186,cinematographer
15400,10,634366,editor
15648,1,31446,actor
15648,2,58290,actor
15648,3,17893,actor
15648,4,90434,actor
15648,5,1178,director
15648,6,12810,writer
15648,7,38595,writer
15648,8,872308,writer
15648,9,1206447,producer
15648,10,19886,composer
15841,1,516001,actor
15841,2,707814,actress
15841,3,70757,actor
15841,4,26849,actor
15841,5,628345,director
15841,6,853130,director
15841,7,928514,writer
15841,8,340599,writer
15841,9,924065,writer
15841,10,336984,writer
15863,1,36,actor
15863,2,874124,actor
15863,3,616762,actress
15863,4,860617,actor
15863,5,623640,writer
15863,6,134252,writer
15863,7,354229,cinematographer
15863,8,504380,cinematographer
15864,1,122,actor
15864,2,841501,actor
15864,3,615306,actor
15864,4,74788,actor
15864,5,675356,composer
15864,6,5906,cinematographer
15864,7,906618,actor
15864,8,354913,actress
15864,9,1033900,actor
15864,10,1027682,actor
15881,1,332998,actor
15881,2,686032,actress
15881,3,380965,actor
15881,4,298202,actress
15881,5,2233,director
15881,6,558923,writer
15881,7,635805,writer
15881,8,267868,writer
15881,9,2206,producer
15881,10,318647,producer
16029,1,73,actress
16029,2,859,actor
16029,3,892867,actress
16029,4,517099,actor
16029,5,124877,director
16029,6,175902,writer
16029,7,426531,writer
16029,8,6203,composer
16029,9,587926,cinematographer
16029,10,5877,cinematographer
16039,1,891,actor
16039,2,522281,actress
16039,3,400763,actor
16039,4,832011,actor
16039,5,398464,director
16039,6,236279,writer
16039,7,265572,writer
16039,8,534268,producer
16039,9,4592,composer
16039,10,1266538,composer
16220,1,151606,actor
16220,2,679907,actress
16220,3,449908,actor
16220,4,136886,actor
16220,5,432216,director
16220,6,480677,director
16220,7,781292,director
16220,8,503693,writer
16220,9,31033,writer
16220,10,165470,writer
16332,1,36,actor
16332,2,245536,actress
16332,3,55797,actor
16332,4,250366,actor
16332,5,576362,writer
16332,6,115669,writer
16332,7,369841,writer
16332,8,593477,writer
16332,9,396327,cinematographer
16332,10,504380,cinematographer
16654,1,1196,actor
16654,2,235521,actress
16654,3,683114,actress
16654,4,187981,actor
16654,5,662032,director
16654,6,192325,writer
16654,7,933888,composer
16654,8,789049,cinematographer
16654,9,1071930,editor
16654,10,634366,editor
16847,1,252472,actor
16847,2,417837,actor
16847,3,394806,actress
16847,4,723801,actress
16847,5,3638,director
16847,6,369458,writer
16847,7,477515,writer
16847,8,324473,writer
16847,9,690143,producer
16847,10,202392,composer
17075,1,385062,actress
17075,2,637040,actor
17075,3,42083,actress
17075,4,156241,actor
17075,5,33,director
17075,6,523269,writer
17075,7,822627,writer
17075,8,410344,composer
17075,9,893248,cinematographer
17075,10,598749,editor
17136,1,375609,actress
17136,2,2154,actor
17136,3,297054,actor
17136,4,459030,actor
17136,5,485,director
